X(E/m),Y(N/m)
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412953516002744,132.530603106474388
166320.412250643654261,132.530587929700118
166320.412036726018414,132.530587929934399
166320.412556240335107,132.530587929365424
166320.417140190373175,132.530724522241371
166320.426858164370060,132.530876287038296
166320.443879898695741,132.531058398923790
166320.467349722457584,132.531149438482601
166320.496228607138619,132.531483312821877
166320.531097186438274,132.531680582704212
166320.573116727638990,132.532014442650706
166320.621889955131337,132.532393827831896
166320.677050152968150,132.532940159001640
166320.738811238901690,132.533562370661173
166320.807417690055445,132.534427415526636
166320.882961185649037,132.535444228233047
166320.965380606241524,132.536764584286800
166321.054706511728000,132.538312595933604
166321.150938901875634,132.540194505980566
166321.253955538151786,132.542364781928541
166321.363756420498248,132.544914489040110
166321.480188750661910,132.547798094849384
166321.603191409318242,132.551076309597477
166321.732581038435455,132.554718778395880
166321.868357637955341,132.558755856330379
166322.010368409450166,132.563142010935024
166322.158491114503704,132.567907597429411
166322.312572954338975,132.573037438434937
166322.472552810038906,132.578486001385215
166322.638400120602455,132.583342633684566
166322.810023207683116,132.588411745254632
166322.987360952771269,132.593860289141759
166323.170474474376533,132.599445424577084
166323.359272093279287,132.604969843591761
166323.553723249991890,132.610342480956774
166323.753766824840568,132.615532981651711
166323.959341698559001,132.620541345743845
166324.170447871205397,132.625352395689731
166324.387054782942869,132.630011664154068
166324.609040195238777,132.634549506357956
166324.836373548314441,132.638965922335018
166325.069115961785428,132.643397509909647
166325.307114637165796,132.647829091705120
166325.550369574397337,132.652291022807844
166325.798850213934202,132.656813658337200
166326.052495436335448,132.661427353446044
166326.310816287004855,132.666101753582581
166326.574882354296278,132.670927922832931
166326.841637671343051,132.675723734027002
166327.112365744542331,132.680792736621783
166327.385324672504794,132.685725138859056
166327.663325944740791,132.690991441494106
166327.944535980583169,132.695680993947747
166328.231399553536903,132.700370540179563
166328.521899725659750,132.704832419255268
166328.818297912308481,132.709476422357085
166329.118485496379435,132.713847225506640
166329.424601654463913,132.718248377217918
166329.734476650017314,132.722239731125995
166330.049638466502074,132.726170369043246
166330.367245054920204,132.729706388145246
166330.687143617076799,132.733136161915183
166331.005300277145579,132.736140966381271
166331.321409438736737,132.739100240449517
166331.632292896800209,132.741680081668648
166331.938898001040798,132.744275105110546
166332.239268933073618,132.746536229441745
166332.536003264598548,132.748949133176666
166332.827817489102017,132.750861183394903
166333.117370297899470,132.752803591169794
166333.400291658705100,132.754518343074409
166333.676031498529483,132.756384878273821
166333.940097546088509,132.757993408052357
166334.193131554930005,132.759586772385290
166334.432383155275602,132.761058731494671
166334.658463540428784,132.762439639795616
166334.872167261783034,132.763699141332864
166335.073922154551838,132.764837235638083
166335.264308852609247,132.765853922075081
166335.443632952228654,132.766764377851587
166335.612291729543358,132.767568602532435
166335.770590780826751,132.768312128409406
166335.918805143563077,132.768979777638975
166336.057270973629784,132.769586727394994
166336.186293867940549,132.770132977342286
166336.307065653265454,132.770664058799838
166336.424200838664547,132.771149611620359
166336.541336024005432,132.771665519524106
166336.661527175398078,132.772196601615661
166336.786027238995302,132.772712501436160
166336.915814124105964,132.773289105622581
166337.051193427119870,132.773865703671419
166337.192409625626169,132.774487827940078
166337.339432159613352,132.775125123378160
166337.492352708242834,132.775823122510644
166337.651171271165367,132.776414872376193
166337.815796169976238,132.777052148494676
166337.986257963697426,132.777734950832070
166338.162495533411857,132.778432924371714
166338.344447759562172,132.779115714096747
166338.532114642148372,132.779783320007169
166338.725435061787721,132.780450919711797
166338.924347899097484,132.781133690819331
166339.128822594473604,132.781801278279744
166339.338828588195611,132.782453682126487
166339.554304760938976,132.783106079968348
166339.775189993437380,132.783743294330606
166340.001453725795727,132.784395680330107
166340.233095958072226,132.785048060424998
166340.470055571000557,132.785745967306923
166340.711996408121195,132.786413513636859
166340.957604404247832,132.787096233481378
166341.204343107296154,132.787778952082334
166341.449401028454304,132.788461672524932
166341.690791789733339,132.789144396989087
166341.927781959529966,132.789827126279732
166342.160738253558520,132.790479504911758
166342.390699700394180,132.791101531745284
166342.618766447820235,132.791723560655697
166342.846130323188845,132.792785739031274
166343.074135950882919,132.793938981945928
166343.303363964776509,132.795061868432214
166343.533355969761033,132.796260641781714
166343.762950698728673,132.797550480809463
166343.990986884746235,132.798992096953725
166344.216669976711273,132.800570313544767
166344.439755497383885,132.802269953309036
166344.660426804504823,132.804106193585966
166344.879142293182667,132.806048678789580
166345.096299238852225,132.808051875860713
166345.312264357460663,132.810130961937375
166345.527129327936564,132.812179694132311
166345.740924710000400,132.814228427493958
166345.953467145562172,132.816337872387038
166346.164573276764713,132.818386608685955
